Score,Player,Shot,Type,Stroke,Spin,Speed (KM/H),Point,Game,Set,Bounce Depth,Bounce Zone,Bounce Side,Bounce (x),Bounce (y),Hit Depth,Hit Zone,Hit Side,Hit (x),Hit (y),Hit (z),Direction,Result,Favorited,Start Time,Video Time,Min,Sec,Comment
,Opponent,14,in_play,Backhand,Flat,115.008163,347,0,0,no_mans_land,deuce,far,-2.920989,18.93573,no_mans_land,ad,near,-1.320424,0.661018,0.886022,down the line,In,false,14:16:42,8243.509766,137,24,
,Player,15,in_play,Forehand,Flat,99.25782,347,0,0,no_mans_land,deuce,near,2.067038,3.479983,out,deuce,far,-2.853613,25.411293,0.91868,cross court,In,false,14:16:43,8244.709961,137,25,
,Opponent,16,in_play,Forehand,Flat,83.150482,347,0,0,no_mans_land,deuce,far,-1.357336,19.788095,no_mans_land,deuce,near,2.626526,0.926888,0.941548,cross court,In,false,14:16:45,8245.870117,137,26,
,Player,17,in_play,Forehand,Topspin,82.404198,347,0,0,service_box,ad,near,-2.752362,6.119807,no_mans_land,deuce,far,-2.100203,24.542082,0.948139,down the line,In,false,14:16:46,8247.120117,137,27,
,Opponent,18,in_play,Backhand,Slice,49.449986,347,0,0,service_box,ad,far,3.331882,15.764479,no_mans_land,ad,near,-2.778526,1.627725,0.731474,cross court,In,false,14:16:47,8248.44043,137,28,
,Player,19,in_play,Backhand,Topspin,74.356873,347,0,0,no_mans_land,ad,near,-0.67695,0.541732,no_mans_land,ad,far,3.930857,22.444529,0.822548,cross court,In,false,14:16:49,8250.360352,137,30,
,Opponent,20,in_play,Backhand,Topspin,86.284988,347,0,0,service_box,ad,near,-2.357416,11.665245,no_mans_land,ad,near,-2.89289,1.204328,0.479402,cross court,Net,false,14:16:50,8251.200195,137,31,
,Player,1,serve,Serve,Flat,145.442307,349,0,0,service_box,deuce,near,0.433058,5.516808,no_mans_land,deuce,far,-1.037623,23.849302,2.833563,down the T,In,false,14:17:19,8280.120117,138,0,
,Opponent,2,return,Backhand,Topspin,79.567261,349,0,0,out,deuce_alley,far,-5.299018,25.635046,no_mans_land,deuce,near,0.390815,1.634365,0.96539,inside in,Out,false,14:17:20,8280.839844,138,1,
,Player,3,serve_plus_one,Forehand,Topspin,120.41851,349,0,0,no_mans_land,ad_alley,near,-4.764182,0.558999,out,deuce_alley,far,-4.619085,25.934317,0.938703,down the line,Out,false,14:17:21,8282.400391,138,2,
,Player,1,serve,Serve,Flat,140.4077,352,0,0,service_box,deuce,near,2.81925,6.198023,no_mans_land,deuce,far,-0.543853,23.561413,3.363822,out wide,In,false,14:19:02,8383.240234,139,43,
,Opponent,2,return,Forehand,Flat,76.908707,352,0,0,out,deuce,far,-0.683005,23.84898,out,deuce_alley,near,4.116564,-1.689273,0.633224,down the line,Out,false,14:19:03,8384.19043,139,44,
,Player,1,serve,Serve,Flat,140.91478,353,0,0,service_box,deuce,near,0.268217,6.676563,no_mans_land,deuce,far,-0.927406,24.458477,2.717994,down the T,In,false,14:19:15,8395.959961,139,56,
,Opponent,2,return,Backhand,Flat,63.289143,353,0,0,no_mans_land,deuce,far,-1.554836,18.79347,no_mans_land,deuce,near,0.358344,1.382845,1.081048,inside out,In,false,14:19:16,8396.910156,139,57,
,Player,3,serve_plus_one,Forehand,Topspin,116.403496,353,0,0,no_mans_land,ad,near,-3.317133,3.885295,no_mans_land,deuce,far,-1.402467,22.395203,0.964073,down the line,In,false,14:19:17,8398.240234,139,58,
,Opponent,4,return_plus_one,Backhand,Topspin,56.271732,353,0,0,no_mans_land,deuce_alley,far,-5.35653,19.807732,out,ad,near,-3.806801,-0.889777,0.389012,down the line,Out,false,14:19:18,8399.44043,139,59,
,Player,1,serve,Serve,Flat,195.680084,354,0,0,service_box,ad,near,-2.431855,9.864708,service_box,ad,far,0.209856,23.113585,2.023093,out wide,In,false,14:19:39,8420.320312,140,20,
,Player,1,serve,Serve,Flat,118.090309,356,0,0,service_box,ad,near,-2.823617,6.859983,service_box,ad,far,0.845657,22.858768,3.004902,out wide,In,false,14:20:06,8447.269531,140,47,
,Opponent,2,return,Backhand,Topspin,66.81958,356,0,0,no_mans_land,deuce_alley,far,-4.593824,20.772615,out,ad_alley,near,-4.697593,-1.283569,0.687422,down the line,Out,false,14:20:07,8448.519531,140,49,
,Player,1,serve,Serve,Flat,135.274826,358,0,0,service_box,deuce,near,0.441865,7.374156,no_mans_land,deuce,far,-1.126704,24.40946,2.622445,down the T,In,false,14:20:28,8469.639648,141,10,
,Opponent,2,return,Backhand,Flat,39.094128,358,0,0,service_box,ad,near,-1.346975,11.743188,no_mans_land,deuce,near,0.300461,1.528803,0.852526,inside in,Net,false,14:20:29,8470.349609,141,10,
,Player,1,serve,Serve,Flat,197.036819,360,0,0,service_box,ad,near,-3.516608,5.773529,no_mans_land,ad,far,0.412602,23.794981,2.372395,out wide,In,false,14:20:45,8486.44043,141,26,
,Opponent,1,serve,Serve,Slice,171.016312,361,0,0,service_box,deuce,far,-3.082526,15.629486,no_mans_land,deuce,near,0.244722,0.145853,2.346212,out wide,In,false,14:21:20,8521.719727,142,2,
,Player,2,return,Forehand,Topspin,54.923145,361,0,0,service_box,deuce,far,-1.273846,12.043057,out,deuce_alley,far,-4.190991,25.07715,0.92291,down the line,Net,false,14:21:21,8522.44043,142,2,
,Opponent,1,serve,Serve,Slice,121.599869,362,0,0,service_box,ad,far,0.93895,17.463062,no_mans_land,ad,near,-0.537782,0.794531,2.589216,down the T,In,false,14:21:39,8540.25,142,20,
,Player,2,return,Forehand,Slice,78.508957,362,0,0,service_box,deuce,near,2.101412,7.304266,no_mans_land,ad,far,0.872984,24.781876,0.810395,inside in,In,false,14:21:40,8541.259766,142,21,
,Opponent,3,serve_plus_one,Forehand,Topspin,77.081085,362,0,0,no_mans_land,deuce,far,-2.776774,18.994148,no_mans_land,deuce,near,2.483138,2.994443,0.601836,cross court,In,false,14:21:41,8542.700195,142,23,
,Player,4,return_plus_one,Forehand,Topspin,84.203712,362,0,0,no_mans_land,ad,near,-1.019947,2.750527,no_mans_land,deuce,far,-3.69529,24.0931,0.947546,down the line,In,false,14:21:43,8544.139648,142,24,
,Opponent,0,none,FH Volley,Flat,33.449589,364,0,0,no_mans_land,deuce_alley,near,4.778572,0.286302,out,deuce,near,2.175078,-1.609177,2.002758,down the line,Net,false,14:21:59,8560.219727,142,40,
,Opponent,1,serve,Serve,Slice,127.383606,365,0,0,service_box,deuce_alley,far,-4.438705,17.504488,no_mans_land,deuce,near,0.402116,0.610931,2.428302,out wide,Out,false,14:22:10,8570.830078,142,51,
,Opponent,1,serve,Serve,Slice,119.009476,366,0,0,service_box,deuce,far,-0.940309,15.796711,no_mans_land,deuce,near,0.422118,1.02708,2.566277,down the T,In,false,14:22:22,8583.360352,143,3,
,Player,2,return,Backhand,Topspin,81.943581,366,0,0,no_mans_land,deuce,near,0.65781,4.929538,out,deuce,far,-1.858654,25.007082,1.190924,inside out,In,false,14:22:23,8584.349609,143,4,
,Opponent,3,serve_plus_one,Forehand,Topspin,78.818474,366,0,0,no_mans_land,deuce,far,-1.07121,20.50193,no_mans_land,deuce,near,0.569495,0.909122,0.773604,cross court,In,false,14:22:24,8585.519531,143,6,
,Player,4,return_plus_one,Forehand,Flat,72.538803,366,0,0,service_box,deuce,near,1.534603,5.895947,no_mans_land,deuce,far,-1.089298,24.171747,0.526336,cross court,In,false,14:22:25,8586.709961,143,7,
,Opponent,5,in_play,Forehand,Topspin,95.748215,366,0,0,no_mans_land,deuce,far,-2.50831,19.02631,no_mans_land,deuce,near,1.709168,1.396784,1.071686,cross court,In,false,14:22:27,8588.280273,143,8,
,Player,6,in_play,Forehand,Topspin,67.106117,366,0,0,no_mans_land,deuce,near,0.995814,3.774453,out,deuce,far,-3.559172,26.065344,0.791567,cross court,In,false,14:22:28,8589.360352,143,9,
,Opponent,7,in_play,Forehand,Flat,71.346657,366,0,0,no_mans_land,ad,far,1.781,20.877064,no_mans_land,deuce,near,0.886444,1.71254,0.708457,down the line,In,false,14:22:30,8590.950195,143,11,
,Player,8,in_play,Backhand,Topspin,103.20224,366,0,0,no_mans_land,ad,near,-1.002272,3.324708,out,ad,far,1.983551,25.379602,0.748002,cross court,In,false,14:22:31,8592.389648,143,12,
,Opponent,9,in_play,Backhand,Topspin,86.870087,366,0,0,no_mans_land,ad,far,3.261852,20.084648,no_mans_land,ad,near,-1.647198,0.688195,0.740549,cross court,In,false,14:22:32,8593.55957,143,14,
,Player,10,in_play,Backhand,Topspin,82.34623,366,0,0,no_mans_land,ad,near,-0.522076,4.317287,no_mans_land,ad,far,3.783358,24.906212,1.025714,cross court,In,false,14:22:34,8594.879883,143,15,
,Opponent,11,in_play,Backhand,Flat,78.275749,366,0,0,no_mans_land,deuce,far,-0.687343,19.942354,no_mans_land,ad,near,-1.140979,0.329598,0.612166,down the line,In,false,14:22:35,8596.30957,143,16,
,Player,12,in_play,Forehand,Topspin,97.420914,366,0,0,no_mans_land,ad,near,-1.781685,4.534353,out,deuce,far,-0.616203,26.372938,0.877274,down the line,In,false,14:22:36,8597.639648,143,18,
,Opponent,13,in_play,Backhand,Flat,76.496964,366,0,0,no_mans_land,ad,far,1.360715,18.614895,no_mans_land,ad,near,-2.258075,-0.210424,0.704578,cross court,In,false,14:22:38,8599.070312,143,19,
,Player,14,in_play,Backhand,Topspin,92.769325,366,0,0,no_mans_land,deuce,near,1.275126,4.658244,out,ad,far,1.899792,25.457218,0.921755,down the line,In,false,14:22:39,8600.519531,143,21,
,Opponent,15,in_play,Forehand,Topspin,77.227402,366,0,0,service_box,deuce,far,-1.549424,16.445107,no_mans_land,deuce,near,1.169826,1.261375,0.825648,cross court,In,false,14:22:40,8601.669922,143,22,
,Player,16,in_play,Forehand,Topspin,97.8778,366,0,0,no_mans_land,ad,near,-2.844949,3.382896,out,deuce,far,-3.591525,25.3276,0.730599,down the line,In,false,14:22:42,8603.040039,143,23,
,Opponent,17,in_play,Backhand,Topspin,74.622925,366,0,0,no_mans_land,ad,far,1.050045,21.870634,no_mans_land,ad,near,-2.847102,-0.080696,0.563264,cross court,In,false,14:22:43,8604.389648,143,24,
,Player,18,in_play,Backhand,Topspin,57.164524,366,0,0,service_box,deuce,near,2.130331,6.867726,no_mans_land,ad,far,0.962081,24.209457,0.542276,down the line,In,false,14:22:44,8605.679688,143,26,
,Opponent,19,in_play,Forehand,Topspin,75.426849,366,0,0,service_box,deuce,far,-2.989066,17.380175,no_mans_land,deuce,near,2.069211,0.758795,0.71242,cross court,In,false,14:22:46,8607.19043,143,27,
,Player,20,in_play,Forehand,Topspin,102.084175,366,0,0,no_mans_land,deuce,near,3.479316,4.17346,out,deuce_alley,far,-4.481681,25.705851,0.954776,down the line,In,false,14:22:47,8608.679688,143,29,
,Opponent,1,serve,Serve,Slice,151.752853,367,0,0,service_box,ad,far,0.604335,17.8825,no_mans_land,ad,near,-0.506897,0.283195,2.521554,down the T,In,false,14:23:21,8642.549805,144,3,
,Player,2,return,Forehand,Slice,52.69973,367,0,0,service_box,deuce_alley,near,5.223277,5.785735,no_mans_land,ad,far,0.657002,24.965204,1.342676,inside in,Out,false,14:23:22,8643.480469,144,3,
,Opponent,1,serve,Serve,Flat,115.484383,368,0,0,service_box,deuce,far,-3.501353,16.333977,no_mans_land,deuce,near,0.516402,0.96009,2.462744,out wide,In,false,14:23:45,8665.870117,144,26,
