,Player,Shot,Type,Stroke,Spin,Speed (KM/H),Point,Game,Set,Bounce Depth,Bounce Zone,Bounce Side,Bounce (x),Bounce (y),Hit Depth,Hit Zone,Hit Side,Hit (x),Hit (y),Hit (z),Direction,Result,Favorited,Start Time,Video Time,Winner_Point,Score_index_before,Pt_P1_before,Pt_P2_before,Gm_P1_before,Gm_P2_before,Set_P1_before,Set_P2_before,first_serve,P1_serving,game_type,Score_index_after,Pt_P1_after,Pt_P2_after,Gm_P1_after,Gm_P2_after,Set_P1_after,Set_P2_after,Bounce (x)Old,Bounce (y)Old,ShotOld,ResultOld,Hit (x)Old,Hit (y)Old,comment,Result2,W_UE,rally_length,rally_length_custom,BP,srv_from,srv_to,P_FH-Line,P_FH-Middle,P_FH-Cross,P_FH-II,P_FH-IO,P_FH-IM,P_FH-D,P_FH-Cross-Pass,P_FH-Middle-Pass,P_FH-Line-Pass,P_BH-Line,P_BH-Middle,P_BH-Cross,P_BH-Slice,P_BH-D,P_BH-Cross-Pass,P_BH-Middle-Pass,P_BH-Line-Pass,P_VOL,P_SMA,O_FH-Line,O_FH-Middle,O_FH-Cross,O_FH-II,O_FH-IO,O_FH-IM,O_FH-D,O_FH-Cross-Pass,O_FH-Middle-Pass,O_FH-Line-Pass,O_BH-Line,O_BH-Middle,O_BH-Cross,O_BH-Slice,O_BH-D,O_BH-Cross-Pass,O_BH-Middle-Pass,O_BH-Line-Pass,O_VOL,O_SMA,shot_from,shot_to,desc1,desc2,desc3,desc4,desc5
10,Player,3,serve_plus_one,Forehand,Topspin,121.841362,5,0.0,0.0,out,deuce_out,far,-3.733333333333333,22.67,no_mans_land,ad,near,-0.552573,1.238757,1.041595,inside in,In,False,21:32:46,431.320007,1,2.0,2.0,0.0,0.0,0.0,0.0,0.0,True,True,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,-5.51682,23.908808,,Out,,,,,W,3.0,3.0,False,deuce,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ad,deuce,FH,IO,,,
11,Opponent,0,none,Forehand,Flat,61.428101,6,0.0,0.0,no_mans_land,ad,near,-0.949119,0.600509,out,deuce_alley,far,-4.598555,25.740122,1.048071,down the line,In,False,21:32:47,432.579987,2,,,,,,,,True,,,,,,,,,,,,,,,,,,,-1.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Player,1,serve,Serve,Flat,73.324745,7,0.0,0.0,service_box,deuce,near,0.553227,6.08288,no_mans_land,ad,near,-0.949119,0.075262,2.421339,down the T,Net,False,21:33:08,453.529999,-1,3.0,3.0,0.0,0.0,0.0,0.0,0.0,True,True,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,-1.0,-1.0,False,ad,T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
13,Player,1,serve,Serve,Slice,127.867363,8,0.0,0.0,service_box,ad,far,-0.2,17.97,no_mans_land,ad,near,-0.929491,-0.06943,2.534505,down the T,Out,False,21:33:20,465.049988,2,3.0,3.0,0.0,0.0,0.0,0.0,0.0,False,True,1.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.94129,17.810066,,In,,,,,UE,1.0,1.0,False,ad,T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
14,Opponent,0,none,Forehand,Topspin,90.690231,9,0.0,0.0,out,ad,near,-0.284495,-0.573193,no_mans_land,ad,far,0.629999,24.139286,1.488689,inside out,Out,False,21:33:21,466.119995,1,,,,,,,,True,,,,,,,,,,,,,,,,,,,-1.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Opponent,0,return,Forehand,Flat,65.676521,10,0.0,0.0,no_mans_land,deuce,near,0.908729,3.625737,out,deuce_out,far,-5.786061,25.731527,0.992475,down the line,In,False,21:33:44,488.880005,-1,4.0,3.0,1.0,0.0,0.0,0.0,0.0,True,True,1.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,,,2.0,,,,,,,-1.0,-1.0,False,deuce,wide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Player,1,serve,Serve,Slice,138.194534,10,0.0,0.0,service_box,deuce,far,-4.433333333,17.87,no_mans_land,deuce,near,0.302831,0.0,2.500556,down the T,Out,False,21:33:43,488.220001,-1,4.0,3.0,1.0,0.0,0.0,0.0,0.0,True,True,1.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,-0.499998,17.220398,,In,0.302831,-0.314935,,,,-1.0,-1.0,False,deuce,wide,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
18,Opponent,0,return,Forehand,Flat,115.082169,11,0.0,0.0,no_mans_land,ad,near,-1.837041,4.463464,no_mans_land,deuce,far,-3.537783,24.476767,1.178508,down the line,In,False,21:33:53,498.649994,2,4.0,3.0,1.0,0.0,0.0,0.0,0.0,False,True,1.0,5.0,3.0,2.0,0.0,0.0,0.0,0.0,,,2.0,,,,,,,1.0,1.0,False,deuce,body,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Player,1,serve,Serve,Kick,126.758484,11,0.0,0.0,service_box,deuce,far,-2.366666667,19.67,no_mans_land,deuce,near,0.380201,0.0,2.536331,down the T,Out,False,21:33:53,497.75,2,4.0,3.0,1.0,0.0,0.0,0.0,0.0,False,True,1.0,5.0,3.0,2.0,0.0,0.0,0.0,0.0,-2.167724,18.107216,,In,0.380201,-0.116441,,,UE,1.0,1.0,False,deuce,body,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
19,Player,1,serve,Serve,Slice,135.053497,12,0.0,0.0,service_box,ad,far,3.746519,17.465075,no_mans_land,ad,near,-0.943303,-0.316326,2.641815,out wide,In,False,21:34:17,522.080017,1,5.0,3.0,2.0,0.0,0.0,0.0,0.0,True,True,1.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,F,2.0,1.0,False,ad,wide,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
