,Player,Shot,Type,Stroke,Spin,Speed,Point,Game,Set,Bounce Depth,Bounce Zone,Bounce Side,Bounce (x),Bounce (y),Hit Depth,Hit Zone,Hit Side,Hit (x),Hit (y),Hit (z),Direction,Result,Favorited,Start Time,Video Time,Winner_Point,Result2,Bounce (x)2,Bounce (y)2,ResultOld,Bounce (x)old,Bounce (y)old,Bounce (x)Old,Bounce (y)Old,comment
35,Player,6,in_play,Backhand,Topspin,86,17,0,0,no_mans_land,ad,near,-1.105718,3.017989,no_mans_land,ad,far,1.185066,24.749872,0.77733,cross court,In,False,14:55:52,719.880005,1,,,,,,,,,
36,Opponent,7,in_play,Forehand,Topspin,82,17,0,0,service_box,ad,far,2.203348,16.179838,no_mans_land,ad,near,-1.419064,-0.492286,0.81633,inside out,In,False,14:55:53,721.039978,1,,,,,,,,,
37,Player,8,in_play,Backhand,Flat,89,17,0,0,no_mans_land,ad,near,-0.283053,3.454051,no_mans_land,ad,far,2.624863,24.556765,0.728281,cross court,In,False,14:55:54,722.419983,1,,,,,,,,,
38,Opponent,9,in_play,Forehand,Topspin,75,17,0,0,no_mans_land,ad,far,1.07166,19.386265,no_mans_land,ad,near,-0.554345,-0.028713,0.625146,inside out,In,False,14:55:55,723.5,1,,,,,,,,,
39,Player,10,in_play,Backhand,Topspin,102,17,0,0,no_mans_land,ad,near,-0.279701,3.877696,out,ad,far,1.391456,25.741817,1.082622,cross court,In,False,14:55:57,724.97998,1,,,,,,,,,
40,Opponent,11,in_play,Forehand,Topspin,81,17,0,0,no_mans_land,deuce,far,-2.880252,18.628799,no_mans_land,ad,near,-0.729947,-0.371328,0.85419,inside in,In,False,14:55:58,726.039978,1,,,,,,,,,
41,Player,12,in_play,Forehand,Topspin,87,17,0,0,service_box,deuce,near,0.768133,5.800497,out,deuce,far,-3.405509,25.362875,1.012532,cross court,In,False,14:55:59,727.400024,1,,,,,,,,,
42,Opponent,13,in_play,Forehand,Topspin,66,17,0,0,service_box,ad,far,1.394039,15.570322,no_mans_land,deuce,near,1.723677,0.351425,0.46763,down the line,In,False,14:56:01,728.599976,1,,,,,,,,,
43,Player,14,in_play,Backhand,Flat,91,17,0,0,service_box,deuce,near,1.661789,5.537606,no_mans_land,ad,far,1.469942,23.887316,0.84441,down the line,In,False,14:56:02,730.119995,1,,,,,,,,,
44,Opponent,1,first_serve,Serve,Flat,108,19,0,0,service_box,deuce,far,-0.347414,14.206754,no_mans_land,deuce,near,0.479835,1.355107,2.393725,down the T,In,False,14:56:35,762.539978,0,,,,,,,,,
45,Opponent,1,first_serve,Serve,Flat,145,21,0,0,service_box,deuce,near,2.603389,10.817036,no_mans_land,ad,near,-0.537915,1.346872,2.401367,out wide,Net,False,14:57:03,790.700012,-2,,,,,,,,,
46,Opponent,1,second_serve,Serve,Kick,113,22,0,0,service_box,ad,far,2.532284,16.070969,no_mans_land,ad,near,-0.949689,-0.144773,2.498725,out wide,In,False,14:57:16,804.039978,0,,,,,,,,,
47,Player,2,return,Backhand,Topspin,104,22,0,0,service_box,deuce,near,1.080671,6.505104,no_mans_land,ad,far,3.597769,24.696856,1.149514,down the line,In,False,14:57:17,804.97998,0,,,,,,,,,
48,Opponent,3,serve_plus_one,Forehand,Flat,56,22,0,0,no_mans_land,ad,far,0.951358,21.457272,no_mans_land,deuce,near,1.02542,1.22165,0.615249,down the line,In,False,14:57:18,806.140015,0,,,,,,,,,
49,Player,4,return_plus_one,Forehand,Topspin,102,22,0,0,no_mans_land,deuce,near,1.473515,2.012727,out,ad,far,0.434338,25.981363,1.123751,inside in,In,False,14:57:20,808.179993,0,,,,,,,,,
50,Opponent,5,in_play,Forehand,Topspin,60,22,0,0,service_box,ad,far,1.064086,15.428918,out,deuce,near,1.79919,-0.605639,0.642112,down the line,In,False,14:57:21,809.340027,0,,,,,,,,,
51,Player,6,in_play,Forehand,Flat,93,22,0,0,service_box,ad,far,1.150058,17.422789,no_mans_land,ad,far,0.763728,24.410036,0.710986,inside out,Net,False,14:57:23,810.960022,0,,,,,,,,,
52,Opponent,1,first_serve,Serve,Slice,145,23,0,0,service_box,deuce,far,1.0,-1.0,no_mans_land,deuce,near,0.464135,0.169472,2.312606,down the T,Let,False,14:57:50,838.5,-1,Let,1.0,-1.0,In,-0.363314,15.070689,,,
53,Opponent,1,first_serve,Serve,Kick,135,24,0,0,service_box,deuce,far,-4.094931,17.990833,no_mans_land,deuce,near,0.084371,0.864274,2.421504,out wide,In,False,14:58:15,863.5,0,,,,,,,,,
54,Player,1,first_serve,Serve,Slice,116,25,0,0,service_box,deuce,far,-0.888895,13.32504,no_mans_land,deuce,near,0.505825,0.915632,2.560993,down the T,In,False,15:00:14,981.880005,1,,,,,,,,,
55,Opponent,2,return,Backhand,Flat,53,25,0,0,no_mans_land,ad,near,-1.015022,5.2846,no_mans_land,deuce,far,-1.607195,24.836561,1.320772,inside in,In,False,15:00:15,982.719971,1,,,,,,,,,
56,Player,3,serve_plus_one,Backhand,Topspin,96,25,0,0,service_box,ad,far,2.734978,17.915714,no_mans_land,ad,near,-1.210772,2.798689,1.254993,cross court,In,False,15:00:17,984.580017,1,,,,,,,,,
57,Opponent,4,return_plus_one,Backhand,Topspin,101,25,0,0,service_box,ad,far,2.270987,16.179838,no_mans_land,ad,far,4.094128,23.118185,0.704958,cross court,Net,False,15:00:18,985.880005,1,,,,,,,,,
58,Player,1,first_serve,Serve,Flat,105,26,0,0,service_box,ad_alley,far,3.5,18.0,no_mans_land,ad,near,-0.794631,0.665707,2.380069,out wide,In,False,15:00:39,1006.900024,0,In,3.5,18.0,Out,4.152829,13.45211,,,
59,Opponent,2,return,Backhand,Flat,80,26,0,0,no_mans_land,ad,near,-3.374112,4.693971,no_mans_land,ad_alley,far,5.363588,23.099146,1.242816,down the line,In,False,15:00:40,1007.799988,0,,,,,,,,,
60,Player,3,serve_plus_one,Backhand,Topspin,62,26,0,0,service_box,ad,near,-4.032302,10.696267,no_mans_land,ad_alley,near,-4.440725,0.471439,0.520494,down the line,Net,False,15:00:41,1009.080017,0,,,,,,,,,
61,Player,1,first_serve,Serve,Kick,165,27,0,0,service_box,ad,near,-0.771465,11.293366,no_mans_land,deuce,near,0.284728,1.405764,2.449455,down the T,Net,False,15:01:02,1030.23999,-1,,,,,,,,,
62,Player,1,second_serve,Serve,Slice,92,28,0,0,service_box,deuce,far,-1.579279,14.201146,no_mans_land,deuce,near,0.317177,0.955044,2.423187,down the T,In,False,15:01:13,1041.439941,1,,,,,,,,,
63,Opponent,2,return,Backhand,Flat,74,28,0,0,no_mans_land,ad,near,-0.757032,3.701193,no_mans_land,deuce,far,-2.62357,24.060869,1.335317,inside in,In,False,15:01:14,1042.300049,1,,,,,,,,,
64,Player,3,serve_plus_one,Backhand,Flat,89,28,0,0,no_mans_land,ad,far,1.607494,19.941132,no_mans_land,ad,near,-0.548507,1.496179,0.822686,cross court,In,False,15:01:16,1043.699951,1,,,,,,,,,
65,Opponent,4,return_plus_one,Backhand,Topspin,74,28,0,0,no_mans_land,ad,near,-0.664613,2.807208,out,ad,far,1.985904,25.187149,1.08891,cross court,In,False,15:01:17,1044.780029,1,,,,,,,,,
66,Player,5,in_play,Backhand,Flat,84,28,0,0,no_mans_land,deuce,far,-2.870593,19.623352,no_mans_land,ad,near,-0.942211,0.783271,0.846625,down the line,In,False,15:01:18,1046.140015,1,,,,,,,,,
67,Opponent,6,in_play,Forehand,Flat,87,28,0,0,service_box,ad,far,0.358128,18.113962,out,deuce,far,-3.974084,26.480917,0.77143,down the line,Net,False,15:01:19,1047.439941,1,,,,,,,,,
