,Player,Shot,Type,Stroke,Spin,Speed (KM/H),Point,Game,Set,Bounce Depth,Bounce Zone,Bounce Side,Bounce (x),Bounce (y),Hit Depth,Hit Zone,Hit Side,Hit (x),Hit (y),Hit (z),Direction,Result,Favorited,Start Time,Video Time,Winner_Point,Result2,ResultOld,Bounce (x)Old,Bounce (y)Old,Bounce (x)2,Bounce (y)2,comment,Hit (x)Old,Hit (y)Old,Hit (x)2,Hit (y)2
311,Opponent,0,return,Forehand,Flat,56,113,0,0,no_mans_land,ad_alley,near,-4.259056,4.214102,no_mans_land,deuce_out,far,-5.776395,24.391401,0.874202,down the line,Out,False,16:31:06,3140.060059,-1,,,,,,,,,,,
312,Player,1,serve,Serve,Kick,102,114,0,0,service_box,deuce,far,-2.053923,16.59008,no_mans_land,deuce,near,0.348561,1.314595,2.487845,down the T,In,False,16:31:14,3148.820068,0,,,,,,,,,,,
313,Opponent,2,return,Forehand,Topspin,87,114,0,0,no_mans_land,deuce,near,2.164717,3.770119,no_mans_land,deuce,far,-3.542447,24.417871,0.945593,cross court,In,False,16:31:15,3149.679932,0,,,,,,,,,,,
314,Player,1,serve,Serve,Slice,111,115,0,0,service_box,ad,far,0.539665,17.158329,no_mans_land,ad,near,-1.13894,0.30972,2.523642,down the T,In,False,16:31:38,3172.620117,0,,,,,,,,,,,
315,Opponent,2,return,Forehand,Flat,59,115,0,0,no_mans_land,ad,near,-2.426667,4.989555,out,ad,far,0.756758,25.458321,0.929738,inside out,In,False,16:31:39,3173.360107,0,,,,,,,,,,,
316,Player,3,serve_plus_one,Forehand,Flat,88,115,0,0,no_mans_land,ad,far,1.93327,19.229994,no_mans_land,ad,near,-2.349719,-0.072597,1.103092,inside out,In,False,16:31:41,3175.139893,0,,,,,,,,,,,
317,Opponent,4,return_plus_one,Backhand,Topspin,69,115,0,0,no_mans_land,ad,near,-0.869015,4.867937,no_mans_land,ad,far,2.684492,24.730505,1.044412,cross court,In,False,16:31:42,3176.379883,0,,,,,,,,,,,
318,Player,5,in_play,Forehand,Topspin,87,115,0,0,no_mans_land,deuce,far,-2.136416,18.978825,no_mans_land,ad,near,-1.625218,-0.274594,0.990154,inside in,In,False,16:31:43,3177.860107,0,,,,,,,,,,,
319,Opponent,6,in_play,Forehand,Topspin,89,115,0,0,service_box,ad,near,-2.93134,6.212853,out,deuce,far,-2.419278,26.262285,0.930637,down the line,In,False,16:31:44,3178.959961,0,,,,,,,,,,,
320,Player,7,in_play,Backhand,Flat,88,115,0,0,no_mans_land,ad,far,0.429226,19.481773,no_mans_land,ad,near,-3.517481,0.066927,0.547978,cross court,In,False,16:31:46,3180.340088,0,,,,,,,,,,,
321,Opponent,8,in_play,Forehand,Topspin,93,115,0,0,no_mans_land,deuce,near,1.097309,4.060421,out,ad,far,0.77627,25.500055,0.928827,inside in,In,False,16:31:47,3181.52002,0,,,,,,,,,,,
322,Player,9,in_play,Forehand,Topspin,84,115,0,0,no_mans_land,deuce_alley,far,-4.369381,23.211679,no_mans_land,deuce,near,1.244163,1.028981,0.716889,down the line,Out,False,16:31:48,3182.659912,0,,,,,,,,,,,
323,Opponent,0,none,Backhand,Topspin,93,116,0,0,service_box,ad,near,-0.235884,11.378832,service_box,ad,far,0.12647,19.304079,1.58553,cross court,In,False,16:32:19,3213.379883,0,,,,,,,,,,,
324,Opponent,1,serve,Serve,Slice,142,117,0,0,service_box,ad,near,-2.105159,5.558846,no_mans_land,deuce,near,0.185936,0.506687,2.29825,out wide,Net,False,16:32:55,3249.97998,-2,,,,,,,,,,,
325,Opponent,1,serve,Serve,Kick,125,118,0,0,service_box,deuce,far,-1.754057,14.366861,no_mans_land,deuce,near,0.284605,0.29714,2.24022,down the T,In,False,16:33:11,3265.580078,0,,,,,,,,,,,
326,Player,2,return,Backhand,Topspin,66,118,0,0,service_box,deuce,far,-1.353938,18.148987,no_mans_land,deuce,far,-3.122807,23.674358,1.407548,inside out,Net,False,16:33:12,3266.419922,0,,,,,,,,,,,
327,Opponent,1,serve,Serve,Flat,125,119,0,0,service_box,ad,far,2.773352,15.130686,no_mans_land,ad,near,-1.322619,0.105027,2.547354,out wide,In,False,16:33:38,3293.02002,1,,,,,,,,,,,
328,Player,2,return,Backhand,Topspin,95,119,0,0,no_mans_land,deuce_alley,near,4.0,3.461697,no_mans_land,ad_alley,far,4.887928,22.760431,1.300168,down the line,In,False,16:33:40,3294.080078,1,In,Out,4.267715,3.461697,4.0,3.461697,,,,,
