,Player,Shot,Type,Stroke,Spin,Speed (KM/H),Point,Game,Set,Bounce Depth,Bounce Zone,Bounce Side,Bounce (x),Bounce (y),Hit Depth,Hit Zone,Hit Side,Hit (x),Hit (y),Hit (z),Direction,Result,Favorited,Start Time,Video Time,Winner_Point,Video Time_2,Result2,comment,ResultOld,Bounce (x)Old,Bounce (y)Old,Hit (x)Old,Hit (y)Old,Bounce (x)2,Bounce (y)2,Hit (x)2,Hit (y)2
24,Opponent,-4,return_plus_one,Backhand,Topspin,76,9,0,0,no_mans_land,deuce,far,11.42828071,11.88,no_mans_land,deuce,far,-0.32,22.69,0.999617,inside out,Net,False,14:30:44,5995.139999,1,131.139999,Net,invalid,Net,-1.222325,11.88,-0.324928,22.688169,11.42828071,11.88,-0.32,22.69
25,Opponent,0,in_play,Forehand,Topspin,105,9,0,0,service_box,deuce,near,2.411714,7.774154,no_mans_land,deuce,far,-1.723613,23.97439,0.951576,cross court,In,False,14:30:45,5995.940002,1,131.940002,,invalid,,,,,,,,,
26,Player,0,in_play,Forehand,Topspin,59,9,0,0,service_box,ad,far,2.683346,15.81362,no_mans_land,deuce,near,3.2642,0.106569,0.86609,down the line,In,False,14:30:46,5997.059998,1,133.059998,,invalid,,,,,,,,,
27,Opponent,0,in_play,BH Volley,Flat,32,9,0,0,service_box,ad,near,-0.269294,5.828212,service_box,ad,far,2.683346,17.022408,1.294789,cross court,In,False,14:30:47,5998.100006,1,134.100006,,invalid,,,,,,,,,
28,Opponent,1,serve,Serve,Flat,143,10,0,0,service_box,ad,near,-0.492086,11.88,no_mans_land,deuce,near,0.356023,1.104314,2.246028,down the T,Net,False,14:31:41,6051.600006,-2,187.600006,,,,,,,,,,,
29,Opponent,1,serve,Serve,Flat,124,11,0,0,service_box,deuce,far,-2.595446,18.00522,no_mans_land,deuce,near,0.103093,0.739773,2.426735,out wide,In,False,14:31:49,6060.0,0,196.0,,,,,,,,,,,
30,Player,2,return,Forehand,Topspin,58,11,0,0,no_mans_land,ad,near,-0.346767,5.267187,no_mans_land,deuce_alley,far,-4.43682,24.816608,0.941326,down the line,In,False,14:31:50,6060.820007,0,196.820007,,,,,,,,,,,
31,Opponent,3,serve_plus_one,Forehand,Topspin,94,11,0,0,service_box,ad_alley,far,3.61,16.34,no_mans_land,deuce,near,0.36,2.14,1.228067,down the line,In,False,14:31:52,6062.580002,0,198.580002,In,,Out,4.51285,16.337606,0.357946,2.138627,3.61,16.34,0.36,2.14
32,Opponent,1,serve,Serve,Flat,127,12,0,0,service_box,ad,far,0.185729,17.724915,no_mans_land,ad,near,-1.193431,-0.149932,2.427627,down the T,In,False,14:32:13,6083.360001,0,219.360001,,,,,,,,,,,
33,Player,2,return,Forehand,Slice,78,12,0,0,no_mans_land,deuce,near,0.0,-1.0,out,ad,far,0.55,25.11,1.390085,inside in,Out,False,14:32:14,6084.179993,0,220.179993,Out,,Out,4.61,3.94,0.55,25.11,0.0,-1.0,0.55,25.11
